"year","hname","aname","hgoals","agoals","hPossesion","aPossesion","hshotsOnTarget","ashotsOnTarget","hshots","ashots","hyellowCards","ayellowCards","hredCards","aredCards","hfouls","afouls","hsaves","asaves"
"2012","Mexico","Costa Rica","1","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0"
"2012","Antigua and Barbuda","United States","1","2","24","76","2","4","14","17","1","1","0","0","11","13","2","1"
"2012","United States","Guatemala","3","1","80","20","3","1","5","2","0","0","0","0","1","3","0","1"
"2013","Honduras","United States","2","1","57","43","4","2","12","11","0","0","0","0","10","12","1","2"
"2013","Panama","Costa Rica","2","2","47","53","5","3","13","11","1","1","0","0","7","10","1","3"
"2013","Mexico","Jamaica","0","0","72","28","5","4","21","6","1","1","0","0","8","13","4","5"
"2013","Honduras","Mexico","2","2","65","35","4","3","18","9","0","2","0","0","10","8","1","2"
"2013","Jamaica","Panama","1","1","39","61","2","2","9","10","4","3","0","0","22","14","1","1"
"2013","United States","Costa Rica","1","0","57","43","1","4","6","9","0","2","0","0","17","14","4","0"
"2013","Costa Rica","Jamaica","2","0","47","53","5","4","16","8","2","2","0","0","18","14","4","3"
"2013","Panama","Honduras","2","0","39","61","3","6","11","24","0","0","0","0","9","13","6","1"
"2013","Mexico","United States","0","0","58","42","3","0","19","1","0","3","0","0","10","13","0","3"
"2013","Jamaica","Mexico","0","1","46","54","2","6","9","13","1","1","0","0","13","13","5","2"
"2013","Jamaica","United States","1","2","43","57","4","4","17","11","0","1","0","0","10","8","2","3"
"2013","Panama","Mexico","0","0","39","61","3","4","6","11","1","1","0","0","11","12","4","3"
"2013","Costa Rica","Honduras","1","0","49","51","4","2","12","8","2","3","0","0","14","24","2","3"
"2013","Mexico","Costa Rica","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0"
"2013","United States","Panama","2","0","58","42","3","1","12","5","4","1","0","0","20","14","1","1"
"2013","Mexico","Honduras","1","2","63","37","2","4","4","6","1","2","0","0","13","13","2","1"
"2013","Costa Rica","United States","3","1","34","66","5","3","12","6","3","0","0","0","11","7","2","3"
"2013","Panama","Jamaica","0","0","62","38","2","0","15","7","1","2","0","1","7","12","0","2"
"2013","Jamaica","Costa Rica","1","1","48","52","5","4","13","14","0","0","0","0","10","7","3","4"
"2013","United States","Mexico","2","0","48","52","3","3","11","13","2","0","0","0","13","13","3","1"
"2013","Honduras","Panama","2","2","53","47","3","4","9","12","2","3","0","0","24","10","2","1"
"2013","Honduras","Costa Rica","1","0","54","46","2","0","9","2","1","0","0","0","12","13","0","1"
"2013","United States","Jamaica","2","0","57","43","4","5","16","9","1","1","0","0","15","14","5","2"
"2013","Mexico","Panama","2","1","59","41","5","1","13","7","2","1","0","0","21","14","0","3"
"2013","Costa Rica","Mexico","2","1","37","63","4","3","11","7","3","3","0","0","15","15","2","2"
"2013","Jamaica","Honduras","2","2","53","47","4","2","16","12","3","2","0","0","11","12","0","3"
"2013","Panama","United States","2","3","37","63","6","4","10","18","1","0","1","0","13","12","1","4"
"2015","Canada","Dominica","4","0","73","27","15","2","20","10","0","1","0","0","9","11","2","11"
"2015","Canada","Belize","3","0","76","24","9","0","23","0","1","0","0","0","7","7","0","7"
"2015","Belize","Canada","1","1","29","71","5","4","10","16","3","1","0","0","18","5","3","4"
"2015","United States","S","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Mexico","El Salvador","3","0","75","25","5","0","19","1","0","0","0","0","12","9","0","2"
"2015","Canada","Honduras","1","0","54","46","3","2","9","8","1","3","0","0","17","21","2","2"
"2015","Honduras","Mexico","0","2","53","47","2","3","9","9","2","2","0","0","22","20","1","2"
"2015","Trinidad and Tobago","United States","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","El Salvador","Canada","0","0","51","49","3","1","10","12","4","2","0","0","18","12","1","3"
"2015","Panama","Costa Rica","1","2","0","0","0","0","0","0","3","4","0","0","0","0","0","0"
"2016","Guatemala","United States","2","0","37","63","3","5","11","12","2","1","0","0","16","17","5","1"
"2016","Canada","Mexico","0","3","48","52","2","9","7","19","1","0","0","0","12","12","6","2"
"2016","United States","Guatemala","4","0","52","48","5","2","9","5","1","1","0","0","17","18","2","1"
"2016","Mexico","Canada","2","0","67","33","4","1","13","6","1","2","0","0","12","10","1","2"
"2016","Honduras","Canada","2","1","66","34","8","1","20","9","0","1","0","0","14","17","0","6"
"2016","El Salvador","Mexico","1","3","41","59","4","6","8","15","3","2","0","0","18","14","3","3"
"2016","United States","Trinidad and Tobago","4","0","50","50","10","5","18","15","0","3","0","0","10","11","5","6"
"2016","Canada","El Salvador","3","1","50","50","7","4","19","11","1","4","0","1","15","20","3","4"
"2016","Mexico","Honduras","0","0","77","23","3","1","18","9","1","3","0","0","7","13","1","3"
"2016","Honduras","Panama","0","1","58","42","2","4","13","9","2","2","0","0","17","22","3","2"
"2016","Trinidad and Tobago","Costa Rica","0","2","46","54","1","3","9","11","1","2","0","0","10","15","1","1"
"2016","United States","Mexico","1","2","42","58","7","4","11","12","3","4","0","1","20","16","2","6"
"2016","Honduras","Trinidad and Tobago","3","1","72","28","7","4","18","15","0","3","0","0","9","12","3","4"
"2016","Costa Rica","United States","4","0","48","52","9","1","15","6","2","4","0","0","12","13","1","5"
"2016","Panama","Mexico","0","0","29","71","3","1","15","6","2","1","0","0","21","18","1","3"
"2017","Trinidad and Tobago","Panama","1","0","48","52","5","2","8","14","0","1","0","0","18","17","2","4"
"2017","Mexico","Costa Rica","2","0","55","45","4","2","11","9","1","1","0","0","15","10","2","2"
"2017","United States","Honduras","6","0","48","52","8","4","9","11","1","1","0","0","15","8","4","2"
"2017","Honduras","Costa Rica","1","1","60","40","6","1","11","7","1","2","0","0","20","17","0","5"
"2017","Trinidad and Tobago","Mexico","0","1","48","52","1","4","6","12","1","2","0","0","11","20","3","1"
"2017","Panama","United States","1","1","53","47","4","3","19","7","0","0","0","0","14","10","2","3"
"2017","United States","Trinidad and Tobago","2","0","55","45","9","2","15","11","1","1","0","0","9","6","2","7"
"2017","Costa Rica","Panama","0","0","51","49","4","2","17","9","1","3","1","0","6","17","2","4"
"2017","Mexico","Honduras","3","0","73","27","4","0","17","5","0","2","0","0","8","21","0","1"
"2017","Mexico","United States","1","1","74","26","1","2","10","7","0","2","0","0","13","21","1","0"
"2017","Panama","Honduras","2","2","73","27","7","3","17","7","2","5","0","0","11","19","1","5"
"2017","Costa Rica","Trinidad and Tobago","2","1","47","53","6","5","18","13","1","1","0","0","11","9","4","4"
"2017","United States","Costa Rica","0","2","61","39","2","2","14","9","2","2","0","0","10","18","0","2"
"2017","Trinidad and Tobago","Honduras","1","2","49","51","2","3","13","16","0","0","1","1","15","13","1","1"
"2017","Mexico","Panama","1","0","58","42","4","5","11","12","1","2","0","0","14","18","5","3"
"2017","Honduras","United States","1","1","54","46","6","4","11","9","1","2","1","0","14","17","3","5"
"2017","Costa Rica","Mexico","1","1","53","47","6","6","15","13","2","1","0","0","17","12","6","5"
"2017","Panama","Trinidad and Tobago","3","0","60","40","8","4","16","9","0","4","0","0","14","14","4","6"
"2017","United States","Panama","4","0","42","58","8","2","15","9","0","3","0","0","16","11","2","4"
"2017","Mexico","Trinidad and Tobago","3","1","68","32","8","4","24","8","1","3","0","0","13","12","3","5"
"2017","Costa Rica","Honduras","1","1","51","49","4","6","6","11","3","3","0","0","17","16","5","3"
"2017","Honduras","Mexico","3","2","46","54","5","7","15","16","3","3","0","0","15","13","5","3"
"2017","Panama","Costa Rica","2","1","55","45","6","2","15","5","2","1","0","0","3","16","1","4"
"2017","Trinidad and Tobago","United States","2","1","39","61","5","5","11","15","2","2","0","0","11","18","4","4"
"2021","Canada","Bermuda","5","1","73","27","14","2","26","4","0","1","0","0","4","12","1","9"
"2021","Cayman Islands","Canada","0","11","24","76","0","16","0","44","2","0","0","0","12","11","5","0"
"2021","Antigua and Barbuda","Grenada","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"2021","Guatemala","S","10","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2021","Suriname","Bermuda","6","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"2021","Dominican Republic","Barbados","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"2021","Nicaragua","Belize","3","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0"
"2021","Turks and Caicos Islands","Haiti","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Bahamas","Trinidad and Tobago","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0"
"2021","British Virgin Islands","Curacao","0","8","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"2021","US Virgin Islands","El Salvador","0","7","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"2021","Anguilla","Panama","0","13","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"2021","Aruba","Canada","0","7","35","65","0","13","0","23","2","1","0","0","10","13","6","0"
"2021","Guyana","Puerto Rico","0","2","0","0","0","0","0","0","4","2","0","0","0","0","0","0"
"2021","Haiti","Nicaragua","1","0","0","0","0","0","0","0","1","3","1","1","0","0","0","0"
"2021","Trinidad and Tobago","S","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"2021","Grenada","Montserrat","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"2021","Bermuda","Cayman Islands","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2021","Curacao","Guatemala","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0"
"2021","Barbados","Dominica","1","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0"
"2021","Canada","Suriname","4","0","62","38","13","1","16","7","1","2","0","0","17","15","1","9"
"2021","El Salvador","Antigua and Barbuda","3","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0"
"2021","Panama","Dominican Republic","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2021","Haiti","Canada","0","1","48","52","2","4","6","5","3","2","0","0","16","16","3","2"
"2021","Panama","Curacao","2","1","53","47","8","3","13","8","0","3","0","0","12","23","2","6"
"2021","Curacao","Panama","0","0","59","41","1","2","7","8","0","0","0","0","14","13","2","1"
"2021","Canada","Haiti","3","0","58","42","9","1","18","4","2","2","0","0","11","19","1","5"
"2021","El Salvador","S","2","0","74","26","13","3","36","6","1","1","0","0","12","7","3","10"
"2005","Scotland","Moldova","2","0","57","43","4","5","13","9","1","2","0","0","24","19","8","4"
"2005","Scotland","Italy","1","1","42","58","0","1","1","4","5","3","0","0","3","0","1","0"
"2005","Scotland","Belarus","0","1","50","50","7","6","12","13","2","2","0","0","15","12","4","5"
"2005","England","Austria","1","0","67","33","10","2","13","12","2","3","1","0","18","14","7","9"
"2005","England","Poland","2","1","60","40","10","3","16","6","0","2","0","0","10","19","2","13"
"2008","Kazakhstan","Andorra","3","0","36","64","5","1","6","1","0","6","0","0","5","2","1","2"
"2008","North Macedonia","Scotland","1","0","48","52","7","6","10","10","3","1","0","0","16","10","11","5"
"2008","Wales","Azerbaijan","1","0","61","39","9","1","14","6","2","5","0","1","11","18","1","10"
"2008","Slovakia","Northern Ireland","2","1","49","51","3","7","5","12","1","2","0","0","11","8","6","4"
"2008","Georgia","Republic of Ireland","1","2","48","52","2","4","6","8","2","0","0","0","12","8","5","1"
"2008","Andorra","England","0","2","44","56","0","7","1","15","3","0","0","0","15","26","8","0"
"2008","Austria","France","3","1","52","48","2","7","6","14","2","0","0","0","11","10","6","2"
"2008","Cyprus","Italy","1","2","48","52","8","7","18","14","3","3","0","0","12","12","8","7"
"2008","Liechtenstein","Germany","0","6","61","39","0","11","8","18","2","0","0","0","10","8","6","0"
"2008","Spain","Bosnia and Herzegovina","1","0","65","35","9","0","17","2","1","3","0","0","2","9","1","7"
"2008","Russia","Wales","2","1","54","46","6","3","13","8","0","4","0","0","16","15","4","5"
"2008","Montenegro","Republic of Ireland","0","0","34","66","6","2","13","6","1","0","0","0","7","9","3","3"
"2008","Finland","Germany","3","3","51","49","7","9","11","21","1","0","0","0","7","5","5","3"
"2008","Iceland","Scotland","1","2","54","46","3","3","8","5","2","3","0","1","18","17","4","4"
"2008","North Macedonia","Netherlands","1","2","52","48","2","2","7","7","3","2","0","0","14","14","2","2"
"2008","Northern Ireland","Czech Republic","0","0","45","55","4","1","9","7","0","2","0","0","7","8","1","5"
"2008","Italy","Georgia","2","0","34","66","8","2","12","3","2","1","0","0","4","8","3","6"
"2008","Croatia","England","1","4","39","61","4","8","7","9","2","1","1","0","14","17","5","2"
"2008","France","Serbia","2","1","42","58","17","2","25","5","0","1","0","0","7","7","1","10"
"2008","Spain","Armenia","4","0","63","37","9","5","15","7","0","2","0","0","3","9","3","5"
"2008","Scotland","Norway","0","0","53","47","3","8","8","17","0","2","0","0","7","14","6","2"
"2008","England","Kazakhstan","5","1","67","33","6","3","15","5","0","0","0","0","12","16","1","5"
"2008","Wales","Liechtenstein","2","0","59","41","10","4","22","6","1","4","0","0","11","10","3","12"
"2008","Bulgaria","Italy","0","0","46","54","2","2","6","10","0","3","0","0","23","18","3","2"
"2008","Romania","France","2","2","61","39","1","0","1","0","1","2","0","0","8","12","2","2"
"2008","Estonia","Spain","0","3","52","48","2","8","4","16","2","2","0","0","11","4","8","2"
"2008","Germany","Russia","2","1","55","45","5","5","14","11","0","2","0","0","5","14","7","7"
"2008","Netherlands","Iceland","2","0","58","42","8","2","18","6","0","0","0","0","12","5","2","7"
"2008","Slovenia","Northern Ireland","2","0","52","48","3","4","5","12","4","5","0","0","19","19","5","5"
"2008","Norway","Netherlands","0","1","45","55","6","3","11","9","2","0","0","0","21","14","3","6"
"2008","Belarus","England","1","3","40","60","4","4","4","10","1","0","0","0","15","17","5","4"
"2008","Belgium","Spain","1","2","45","55","3","4","4","8","2","3","0","0","12","5","0","5"
"2008","Germany","Wales","1","0","70","30","11","3","26","5","0","1","0","0","4","10","2","7"
"2008","Northern Ireland","San Marino","4","0","51","49","8","0","15","0","2","2","0","1","9","13","0","8"
"2008","Republic of Ireland","Cyprus","1","0","55","45","4","4","10","7","2","2","0","0","15","19","3","7"
"2008","Italy","Montenegro","2","1","65","35","8","7","11","9","2","3","0","0","10","9","7","7"
"2009","San Marino","Northern Ireland","0","3","32","68","3","9","6","15","2","3","1","0","15","13","7","2"
"2009","Republic of Ireland","Georgia","2","1","57","43","10","3","13","4","1","5","0","0","11","11","2","7"
"2009","Wales","Finland","0","2","52","48","3","4","6","6","0","2","0","0","1","1","5","2"
"2009","Northern Ireland","Poland","3","2","47","53","2","2","11","7","1","3","0","0","12","7","2","2"
"2009","Germany","Liechtenstein","4","0","50","50","9","1","22","1","1","3","0","0","8","23","1","11"
"2009","Lithuania","France","0","1","44","56","4","7","6","11","1","1","0","0","10","12","7","4"
"2009","Montenegro","Italy","0","2","56","44","6","2","10","7","3","2","0","0","20","19","5","9"
"2009","Netherlands","Scotland","3","0","66","34","4","1","7","3","2","0","0","0","11","7","2","6"
"2009","Republic of Ireland","Bulgaria","1","1","45","55","4","4","7","8","0","3","0","0","9","11","2","6"
"2009","Spain","Turkey","1","0","52","48","2","1","6","4","0","0","0","0","6","12","3","2"
"2009","Turkey","Spain","1","2","49","51","2","3","4","6","4","2","0","0","17","19","3","2"
"2009","Netherlands","North Macedonia","4","0","55","45","3","2","8","4","0","1","0","0","14","12","1","4"
"2009","Northern Ireland","Slovenia","1","0","49","51","1","2","3","5","4","2","0","0","11","14","3","3"
"2009","Wales","Germany","0","2","40","60","6","6","8","10","0","1","0","0","14","10","5","4"
"2009","Italy","Republic of Ireland","1","1","44","56","0","5","2","10","3","1","1","0","11","22","5","0"
"2009","England","Ukraine","2","1","59","41","4","4","11","7","3","1","0","0","12","16","3","3"
