date,home_team,away_team,home_team_score,away_team_score,neutral_location,home_team_result,year,goalkeeper_differential,defense_differential,offense_differential,midfield_differential,possesion_differential,shots_on_target_differential,shots_differential,yellow_cards_differential,red_card_differential,fouls_differential,saves_differential,score_differential,fifa_rank_differential
2005-09-03,Scotland,Italy,1,1,False,Draw,2005,-21,-14,-12.599999999999994,-12.700000000000003,-16,-1,-3,2,0,3,1,0,73
2005-10-08,England,Austria,1,0,False,Win,2005,4,14.700000000000003,15.700000000000003,19.200000000000003,34,8,1,-1,1,4,-2,1,-68
2005-10-12,England,Poland,2,1,False,Win,2005,-1,11.299999999999997,8,12,20,7,10,-2,0,-9,-11,1,-6
2006-06-09,Germany,Costa Rica,4,2,False,Win,2006,21,16.700000000000003,15,17.200000000000003,14,8,20,-1,0,0,-13,2,-7
2006-06-10,Argentina,Ivory Coast,2,1,True,Win,2006,18,5.299999999999997,4.299999999999997,11.200000000000003,20,-4,-11,1,0,-1,2,1,-23
2006-06-10,England,Paraguay,1,0,True,Win,2006,6,13.299999999999997,10,18,12,2,-2,1,0,2,-1,1,-23
2006-06-12,United States,Czech Republic,0,3,True,Lose,2006,-10,-5,-6.299999999999997,-5,4,-1,0,-2,0,-3,-2,-3,3
2006-06-13,Brazil,Croatia,1,0,True,Win,2006,14,5.5,10.700000000000003,14.5,4,4,11,-2,0,-1,-2,1,-22
2006-06-13,France,Switzerland,0,0,True,Draw,2006,15,8.700000000000003,13.299999999999997,12,-2,3,5,-2,0,-2,-3,0,-27
2006-06-14,Germany,Poland,1,0,False,Win,2006,5,8,3,9.799999999999997,-2,7,15,0,-1,6,-3,1,-10
2006-06-15,Sweden,Paraguay,1,0,True,Win,2006,-1,3,3.299999999999997,9,4,9,3,-1,0,3,-5,1,-17
2006-06-16,Netherlands,Ivory Coast,2,1,True,Win,2006,17,2.799999999999997,9.299999999999997,9.400000000000006,0,-1,-7,1,0,6,-1,1,-29
2006-06-17,Italy,United States,1,1,True,Draw,2006,11,13,12.599999999999994,8,8,1,1,1,-1,-9,-1,0,8
2006-06-18,Brazil,Australia,2,0,True,Win,2006,8,15.200000000000003,16.400000000000006,13.200000000000003,6,2,4,1,0,-14,1,2,-41
2006-06-18,France,South Korea,1,1,True,Draw,2006,14,11.5,11.700000000000003,14,4,4,11,0,0,10,-1,0,-21
2006-06-19,Spain,Tunisia,3,1,True,Win,2006,28,16,18,16.200000000000003,28,7,21,-4,0,-10,-8,2,-16
2006-06-20,Costa Rica,Poland,1,2,True,Lose,2006,-16,-8.700000000000003,-12,-7.400000000000006,0,-1,0,0,0,-5,3,-1,-3
2006-06-20,Sweden,England,2,2,True,Draw,2006,-7,-10.299999999999997,-6.700000000000003,-9,-8,-2,-6,1,0,8,6,0,6
2006-06-21,Netherlands,Argentina,0,0,True,Draw,2006,-1,-2.5,5,-1.7999999999999972,0,1,0,1,0,4,0,0,-6
2006-06-21,Portugal,Mexico,2,1,True,Win,2006,0,8.5,0.7000000000000028,13.799999999999997,0,0,-2,0,-1,7,2,1,3
2006-06-22,Croatia,Australia,2,2,True,Draw,2006,-6,9.700000000000003,5.700000000000003,-1.2999999999999972,-8,-1,-3,3,1,-4,2,0,-19
2006-06-22,Czech Republic,Italy,0,2,True,Lose,2006,-1,-8,-6.299999999999997,-3,-2,0,-5,0,1,1,-6,-2,-11
2006-06-23,Switzerland,South Korea,2,0,True,Win,2006,-1,2.799999999999997,-1.5999999999999943,2,2,-2,-5,1,0,-12,1,2,6
2006-06-24,Argentina,Mexico,2,1,True,Win,2006,4,9.5,5.700000000000003,11.799999999999997,2,-3,-5,-2,0,-6,2,1,5
2006-06-24,Germany,Sweden,2,0,False,Win,2006,13,7,1.7000000000000028,6.799999999999997,26,11,25,-2,-1,-6,-7,2,3
