match,date,country1,country2,country1_score,country2_score,shootout,country1_shootout,country2_shootout
1,21/11/2022,Qatar,Ecuador,0,2,0,,
2,21/11/2022,Senegal,Netherlands,0,2,0,,
3,21/11/2022,England,Iran,6,2,0,,
4,21/11/2022,USA,Wales,1,1,0,,
5,22/11/2022,France,Australia,4,1,0,,
6,22/11/2022,Denmark,Tunisia,0,0,0,,
7,22/11/2022,Mexico,Poland,0,0,0,,
8,22/11/2022,Argentina,Saudi Arabia,1,2,0,,
9,23/11/2022,Belgium,Canada,1,0,0,,
10,23/11/2022,Spain,Costa Rica,7,0,0,,
11,23/11/2022,Germany,Japan,1,2,0,,
12,23/11/2022,Morocco,Croatia,0,0,0,,
13,24/11/2022,Switzerland,Cameroon,1,0,0,,
14,24/11/2022,Uruguay,South Korea,0,0,0,,
15,24/11/2022,Portugal,Ghana,3,2,0,,
16,24/11/2022,Brazil,Serbia,2,0,0,,
17,25/11/2022,Wales,Iran,0,2,0,,
18,25/11/2022,Qatar,Senegal,1,3,0,,
19,25/11/2022,Netherlands,Ecuador,1,1,0,,
20,25/11/2022,England,USA,0,0,0,,
21,26/11/2022,Tunisia,Australia,0,1,0,,
22,26/11/2022,Poland,Saudi Arabia,2,0,0,,
23,26/11/2022,France,Denmark,2,1,0,,
24,26/11/2022,Argentina,Mexico,2,0,0,,
25,27/11/2022,Japan,Costa Rica,0,1,0,,
26,27/11/2022,Belgium,Morocco,0,2,0,,
27,27/11/2022,Croatia,Canada,4,1,0,,
28,27/11/2022,Spain,Germany,1,1,0,,
29,28/11/2022,Cameroon,Serbia,3,3,0,,
30,28/11/2022,South Korea,Ghana,2,3,0,,
31,28/11/2022,Brazil,Switzerland,1,0,0,,
32,28/11/2022,Portugal,Uruguay,2,0,0,,
33,29/11/2022,Wales,England,0,3,0,,
34,29/11/2022,Iran,USA,0,1,0,,
35,29/11/2022,Ecuador,Senegal,1,2,0,,
36,29/11/2022,Netherlands,Qatar,2,0,0,,
37,30/11/2022,Australia,Denmark,1,0,0,,
38,30/11/2022,Tunisia,France,1,0,0,,
39,30/11/2022,Poland,Argentina,0,2,0,,
40,30/11/2022,Saudi Arabia,Mexico,1,2,0,,
41,01/12/2022,Croatia,Belgium,0,0,0,,
42,01/12/2022,Canada,Morocco,1,2,0,,
43,01/12/2022,Japan,Spain,2,1,0,,
44,01/12/2022,Costa Rica,Germany,2,4,0,,
45,02/12/2022,Ghana,Uruguay,0,2,0,,
46,02/12/2022,South Korea,Portugal,2,1,0,,
47,02/12/2022,Serbia,Switzerland,2,3,0,,
48,02/12/2022,Cameroon,Brazil,1,0,0,,
49,03/12/2022,Netherlands,USA,3,1,0,,
50,03/12/2022,Argentina,Australia,2,1,0,,
51,04/12/2022,France,Poland,3,1,0,,
52,04/12/2022,England,Senegal,3,0,0,,
53,05/12/2022,Japan,Croatia,1,1,1,1,3
54,05/12/2022,Brazil,South Korea,4,1,0,,
55,06/12/2022,Morocco,Spain,0,0,1,3,0
56,06/12/2022,Portugal,Switzerland,6,1,0,,
57,09/12/2022,Croatia,Brazil,1,1,1,4,2
58,09/12/2022,Netherlands,Argentina,2,2,1,3,4
59,10/12/2022,Morocco,Portugal,1,0,0,,
60,10/12/2022,England,France,1,2,0,,
61,13/12/2022,Argentina,Croatia,3,0,0,,
62,14/12/2022,France,Morocco,2,0,0,,
63,17/12/2022,Croatia,Morocco,,,,,
64,18/12/2022,Argentina,France,,,,,
