date,home_team,away_team,home_team_score,away_team_score,neutral_location,home_team_result,year,goalkeeper_differential,defense_differential,offense_differential,midfield_differential,possesion_differential,shots_on_target_differential,shots_differential,yellow_cards_differential,red_card_differential,fouls_differential,saves_differential,score_differential,fifa_rank_differential
2006-06-10,England,Paraguay,1,0,True,Win,2006,6,13.299999999999997,10,18,12,2,-2,1,0,2,-1,1,-23
2006-06-12,United States,Czech Republic,0,3,True,Lose,2006,-10,-5,-6.299999999999997,-5,4,-1,0,-2,0,-3,-2,-3,3
2006-06-13,Brazil,Croatia,1,0,True,Win,2006,14,5.5,10.700000000000003,14.5,4,4,11,-2,0,-1,-2,1,-22
2006-06-13,France,Switzerland,0,0,True,Draw,2006,15,8.700000000000003,13.299999999999997,12,-2,3,5,-2,0,-2,-3,0,-27
2006-06-15,Sweden,Paraguay,1,0,True,Win,2006,-1,3,3.299999999999997,9,4,9,3,-1,0,3,-5,1,-17
2006-06-17,Italy,United States,1,1,True,Draw,2006,11,13,12.599999999999994,8,8,1,1,1,-1,-9,-1,0,8
2006-06-18,Brazil,Australia,2,0,True,Win,2006,8,15.200000000000003,16.400000000000006,13.200000000000003,6,2,4,1,0,-14,1,2,-41
2006-06-18,France,South Korea,1,1,True,Draw,2006,14,11.5,11.700000000000003,14,4,4,11,0,0,10,-1,0,-21
2006-06-19,Spain,Tunisia,3,1,True,Win,2006,28,16,18,16.200000000000003,28,7,21,-4,0,-10,-8,2,-16
2006-06-20,Costa Rica,Poland,1,2,True,Lose,2006,-16,-8.700000000000003,-12,-7.400000000000006,0,-1,0,0,0,-5,3,-1,-3
2006-06-20,Sweden,England,2,2,True,Draw,2006,-7,-10.299999999999997,-6.700000000000003,-9,-8,-2,-6,1,0,8,6,0,6
2006-06-21,Netherlands,Argentina,0,0,True,Draw,2006,-1,-2.5,5,-1.7999999999999972,0,1,0,1,0,4,0,0,-6
2006-06-21,Portugal,Mexico,2,1,True,Win,2006,0,8.5,0.7000000000000028,13.799999999999997,0,0,-2,0,-1,7,2,1,3
