home,away,outcome,pred_win_prob,pred_loss_prob,pred_draw_prob,pred_outcome,homeTeam,awayTeam,winOdds,drawOdds,loseOdds,winProb,drawProb,loseProb
0,2,Loss,0.29458,0.428,0.27742,Likely Loss,Qatar,Ecuador,271,214,124,0.2695417789757412,0.3184713375796178,0.44642857142857145
0,2,Loss,0.25439,0.47945,0.26616,Likely Loss,Senegal,Netherlands,509,267,-152,0.16420361247947454,0.2724795640326976,0.6031746031746031
6,2,Win,0.63385,0.13072,0.23543,Likely Win,England,Iran,-263,365,919,0.7245179063360881,0.21505376344086022,0.09813542688910697
1,1,Draw,0.38717,0.32177,0.29106,Likely Win,United States,Wales,147,209,222,0.4048582995951417,0.32362459546925565,0.3105590062111801
4,1,Win,0.72674,0.09189,0.18137,Likely Win,France,Australia,-455,580,1286,0.8198198198198198,0.14705882352941177,0.07215007215007214
0,0,Draw,0.6023,0.15396,0.24374,Likely Win,Denmark,Tunisia,-172,292,557,0.6323529411764706,0.25510204081632654,0.15220700152207
0,0,Draw,0.40789,0.29906,0.29305,Likely Win,Mexico,Poland,150,213,214,0.4,0.3194888178913738,0.3184713375796178
1,2,Loss,0.74778,0.08108,0.17114,Likely Win,Argentina,Saudi Arabia,-833,821,2452,0.8928188638799571,0.10857763300760044,0.03918495297805643
1,0,Win,0.57989,0.17736,0.24275,Likely Win,Belgium,Canada,-172,321,492,0.6323529411764706,0.2375296912114014,0.16891891891891891
7,0,Win,0.68532,0.11044,0.20424,Likely Win,Spain,Costa Rica,-625,742,1643,0.8620689655172413,0.1187648456057007,0.05737234652897304
1,2,Loss,0.61513,0.15188,0.23299,Likely Win,Germany,Japan,-222,384,628,0.6894409937888198,0.2066115702479339,0.13736263736263737
0,0,Draw,0.29014,0.43988,0.26998,Likely Loss,Morocco,Croatia,257,227,121,0.2801120448179272,0.3058103975535168,0.45248868778280543
1,0,Win,0.49418,0.22757,0.27825,Likely Win,Switzerland,Cameroon,-123,245,401,0.5515695067264574,0.2898550724637681,0.1996007984031936
0,0,Draw,0.52035,0.20708,0.27257,Likely Win,Uruguay,South Korea,-128,254,209,0.5614035087719298,0.2824858757062147,0.32362459546925565
3,2,Win,0.55984,0.17874,0.26142,Likely Win,Portugal,Ghana,-312,449,921,0.7572815533980582,0.18214936247723132,0.0979431929480901
2,0,Win,0.56402,0.18171,0.25427,Likely Win,Brazil,Serbia,-213,357,623,0.6805111821086262,0.2188183807439825,0.13831258644536654
0,2,Loss,0.43716,0.26966,0.29318,Likely Win,Wales,Iran,114,218,287,0.4672897196261682,0.31446540880503143,0.25839793281653745
